replica	lenguaje	tamanio	tipo dato	datos				
0	JAVA	1600	int32	0,48671875				
0	JAVA	1600	int32	13,61120977				
0	JAVA	1600	int32	6,857910156				
0	JAVA	1600	int64	0,534951953				
0	JAVA	1600	int64	15,43104922				
0	JAVA	1600	int64	7,970284375				
0	JAVA	1600	float	0,89839375				
0	JAVA	1600	float	10,54795156				
0	JAVA	1600	float	5,031180078				
0	JAVA	1600	double	0,908541797				
0	JAVA	1600	double	12,7019168				
0	JAVA	1600	double	6,532052734				
0	JAVA	1700	int32	0,397183045				
0	JAVA	1700	int32	10,7518				
0	JAVA	1700	int32	5,275244637				
0	JAVA	1700	int64	0,507382353				
0	JAVA	1700	int64	13,07164221				
0	JAVA	1700	int64	6,881733564				
0	JAVA	1700	float	0,881482353				
0	JAVA	1700	float	10,20024913				
0	JAVA	1700	float	5,073379239				
0	JAVA	1700	double	0,898794464				
0	JAVA	1700	double	12,96710277				
0	JAVA	1700	double	6,773087889				
0	JAVA	1800	int32	0,466826852				
0	JAVA	1800	int32	10,58081265				
0	JAVA	1800	int32	5,428692284				
0	JAVA	1800	int64	0,64747963				
0	JAVA	1800	int64	12,38447037				
0	JAVA	1800	int64	6,349081481				
0	JAVA	1800	float	0,88930679				
0	JAVA	1800	float	10,90103827				
0	JAVA	1800	float	5,376030556				
0	JAVA	1800	double	0,890989815				
0	JAVA	1800	double	13,78584136				
0	JAVA	1800	double	7,143062963				
1	JAVA	200	int32	0,3127				
1	JAVA	200	int32	0,59335				
1	JAVA	200	int32	0,489075				
1	JAVA	200	int64	0,336775				
1	JAVA	200	int64	0,81785				
1	JAVA	200	int64	0,705575				
1	JAVA	200	float	0,8499				
1	JAVA	200	float	0,8419				
1	JAVA	200	float	0,4891				
1	JAVA	200	double	0,8419				
1	JAVA	200	double	0,85795				
1	JAVA	200	double	0,72965				
1	JAVA	300	int32	0,310033333				
1	JAVA	300	int32	1,143911111				
1	JAVA	300	int32	0,819622222				
1	JAVA	300	int64	0,338533333				
1	JAVA	300	int64	1,478877778				
1	JAVA	300	int64	0,869511111				
1	JAVA	300	float	0,837433333				
1	JAVA	300	float	1,133211111				
1	JAVA	300	float	0,823177778				
1	JAVA	300	double	0,837433333				
1	JAVA	300	double	1,133211111				
1	JAVA	300	double	0,901588889				
1	JAVA	400	int32	0,38686875				
1	JAVA	400	int32	1,35505				
1	JAVA	400	int32	0,9080375				
1	JAVA	400	int64	0,4149375				
1	JAVA	400	int64	1,635675				
1	JAVA	400	int64	0,94211875				
1	JAVA	400	float	0,85391875				
1	JAVA	400	float	1,3510375				
1	JAVA	400	float	0,9060375				
1	JAVA	400	double	1,11450625				
1	JAVA	400	double	1,79603125				
1	JAVA	400	double	0,9521375				
1	JAVA	500	int32	0,44516				
1	JAVA	500	int32	1,407324				
1	JAVA	500	int32	1,067356				
1	JAVA	500	int64	0,814632				
1	JAVA	500	int64	1,812712				
1	JAVA	500	int64	0,976272				
1	JAVA	500	float	0,914692				
1	JAVA	500	float	1,418868				
1	JAVA	500	float	0,937788				
1	JAVA	500	double	1,003216				
1	JAVA	500	double	1,86146				
1	JAVA	500	double	0,974992				
1	JAVA	600	int32	0,4401				
1	JAVA	600	int32	1,467297222				
1	JAVA	600	int32	1,023633333				
1	JAVA	600	int64	1,071741667				
1	JAVA	600	int64	2,016086111				
1	JAVA	600	int64	1,060158333				
1	JAVA	600	float	0,903363889				
1	JAVA	600	float	1,597366667				
1	JAVA	600	float	0,928308333				
1	JAVA	600	double	0,928308333				
1	JAVA	600	double	1,972433333				
1	JAVA	600	double	1,088669444				
1	JAVA	700	int32	0,526242857				
1	JAVA	700	int32	1,773781633				
1	JAVA	700	int32	1,006671429				
1	JAVA	700	int64	0,815546939				
1	JAVA	700	int64	2,103665306				
1	JAVA	700	int64	1,690657143				
1	JAVA	700	float	0,948418367				
1	JAVA	700	float	1,557132653				
1	JAVA	700	float	0,9242				
1	JAVA	700	double	0,964779592				
1	JAVA	700	double	2,067665306				
1	JAVA	700	double	1,19124898				
1	JAVA	800	int32	0,4505125				
1	JAVA	800	int32	1,618135938				
1	JAVA	800	int32	0,979701563				
1	JAVA	800	int64	0,749184375				
1	JAVA	800	int64	6,55071875				
1	JAVA	800	int64	3,567014063				
1	JAVA	800	float	0,859932813				
1	JAVA	800	float	1,686289063				
1	JAVA	800	float	0,949132813				
1	JAVA	800	double	0,932095313				
1	JAVA	800	double	6,612859375				
1	JAVA	800	double	3,5319375				
1	JAVA	900	int32	0,452571605				
1	JAVA	900	int32	1,596475309				
1	JAVA	900	int32	1,002549383				
1	JAVA	900	int64	0,71112963				
1	JAVA	900	int64	8,57432963				
1	JAVA	900	int64	4,464351852				
1	JAVA	900	float	0,91662716				
1	JAVA	900	float	1,584201235				
1	JAVA	900	float	1,045707407				
1	JAVA	900	double	0,917023457				
1	JAVA	900	double	8,501869136				
1	JAVA	900	double	4,400208642				
1	JAVA	1000	int32	0,501608				
1	JAVA	1000	int32	1,719383				
1	JAVA	1000	int32	1,081471				
1	JAVA	1000	int64	0,597502				
1	JAVA	1000	int64	9,853181				
1	JAVA	1000	int64	5,063538				
1	JAVA	1000	float	0,924638				
1	JAVA	1000	float	1,700782				
1	JAVA	1000	float	1,085961				
1	JAVA	1000	double	0,910846				
1	JAVA	1000	double	9,995581				
1	JAVA	1000	double	5,185732				
1	JAVA	1100	int32	0,610164463				
1	JAVA	1100	int32	6,141138843				
1	JAVA	1100	int32	3,188918182				
1	JAVA	1100	int64	0,672983471				
1	JAVA	1100	int64	10,99435785				
1	JAVA	1100	int64	5,547672727				
1	JAVA	1100	float	0,973294215				
1	JAVA	1100	float	7,004168595				
1	JAVA	1100	float	3,50327686				
1	JAVA	1100	double	0,910210744				
1	JAVA	1100	double	10,43455372				
1	JAVA	1100	double	5,377239669				
1	JAVA	1200	int32	0,470613194				
1	JAVA	1200	int32	8,069688194				
1	JAVA	1200	int32	4,011235417				
1	JAVA	1200	int64	0,552129167				
1	JAVA	1200	int64	11,14348403				
1	JAVA	1200	int64	5,610607639				
1	JAVA	1200	float	0,871736111				
1	JAVA	1200	float	7,938950694				
1	JAVA	1200	float	3,902547222				
1	JAVA	1200	double	0,910935417				
1	JAVA	1200	double	11,33212986				
1	JAVA	1200	double	5,775644444				
1	JAVA	1300	int32	0,419972781				
1	JAVA	1300	int32	8,362079882				
1	JAVA	1300	int32	4,102757396				
1	JAVA	1300	int64	0,518846154				
1	JAVA	1300	int64	11,34554083				
1	JAVA	1300	int64	5,835977515				
1	JAVA	1300	float	0,874106509				
1	JAVA	1300	float	8,400414793				
1	JAVA	1300	float	4,170697041				
1	JAVA	1300	double	0,90769645				
1	JAVA	1300	double	11,74350059				
1	JAVA	1300	double	5,895377515				
1	JAVA	1400	int32	0,441481633				
1	JAVA	1400	int32	9,177192857				
1	JAVA	1400	int32	4,606759694				
1	JAVA	1400	int64	0,518389796				
1	JAVA	1400	int64	11,78926633				
1	JAVA	1400	int64	6,015639796				
1	JAVA	1400	float	0,891636224				
1	JAVA	1400	float	9,195846939				
1	JAVA	1400	float	4,591541837				
1	JAVA	1400	double	0,879691327				
1	JAVA	1400	double	11,92000918				
1	JAVA	1400	double	6,092056122				
1	JAVA	1500	int32	0,531256				
1	JAVA	1500	int32	9,566313778				
1	JAVA	1500	int32	4,711315556				
1	JAVA	1500	int64	0,559764444				
1	JAVA	1500	int64	12,617864				
1	JAVA	1500	int64	6,261465333				
1	JAVA	1500	float	0,959168889				
1	JAVA	1500	float	9,179025778				
1	JAVA	1500	float	4,587731111				
1	JAVA	1500	double	0,940923111				
1	JAVA	1500	double	12,55243689				
1	JAVA	1500	double	6,320762667				
1	JAVA	1600	int32	0,424328516				
1	JAVA	1600	int32	9,902375781				
1	JAVA	1600	int32	4,897880859				
1	JAVA	1600	int64	0,512526953				
1	JAVA	1600	int64	12,96175078				
1	JAVA	1600	int64	6,479183984				
1	JAVA	1600	float	0,882107031				
1	JAVA	1600	float	9,762060938				
1	JAVA	1600	float	4,916046484				
1	JAVA	1600	double	0,867323828				
1	JAVA	1600	double	13,11810195				
1	JAVA	1600	double	6,603713672				
1	JAVA	1700	int32	0,41349654				
1	JAVA	1700	int32	10,52041488				
1	JAVA	1700	int32	5,143294118				
1	JAVA	1700	int64	0,551217647				
1	JAVA	1700	int64	13,34175813				
1	JAVA	1700	int64	6,745122145				
1	JAVA	1700	float	0,891026298				
1	JAVA	1700	float	10,32753841				
1	JAVA	1700	float	5,102787889				
1	JAVA	1700	double	0,916550865				
1	JAVA	1700	double	13,47193287				
1	JAVA	1700	double	6,790843945				
1	JAVA	1800	int32	0,41941142				
1	JAVA	1800	int32	11,02942562				
1	JAVA	1800	int32	5,40038179				
1	JAVA	1800	int64	0,500482716				
1	JAVA	1800	int64	13,84038395				
1	JAVA	1800	int64	7,161573765				
1	JAVA	1800	float	0,885743519				
1	JAVA	1800	float	10,88143858				
1	JAVA	1800	float	5,37217037				
1	JAVA	1800	double	0,935138272				
1	JAVA	1800	double	13,88383951				
1	JAVA	1800	double	7,378357407				
2	JAVA	200	int32	0,320725				
2	JAVA	200	int32	0,60135				
2	JAVA	200	int32	0,497125				
2	JAVA	200	int64	0,344775				
2	JAVA	200	int64	0,81785				
2	JAVA	200	int64	0,705575				
2	JAVA	200	float	0,8499				
2	JAVA	200	float	0,833875				
2	JAVA	200	float	0,4891				
2	JAVA	200	double	0,833875				
2	JAVA	200	double	0,85795				
2	JAVA	200	double	0,753675				
2	JAVA	300	int32	0,295777778				
2	JAVA	300	int32	1,136777778				
2	JAVA	300	int32	0,816055556				
2	JAVA	300	int64	0,320722222				
2	JAVA	300	int64	1,136777778				
2	JAVA	300	int64	0,940777778				
2	JAVA	300	float	0,837433333				
2	JAVA	300	float	1,1439				
2	JAVA	300	float	0,819622222				
2	JAVA	300	double	0,841				
2	JAVA	300	double	1,126088889				
2	JAVA	300	double	1,361277778				
2	JAVA	400	int32	0,4009				
2	JAVA	400	int32	1,35705				
2	JAVA	400	int32	0,9080375				
2	JAVA	400	int64	0,410925				
2	JAVA	400	int64	1,435225				
2	JAVA	400	int64	0,9501375				
2	JAVA	400	float	1,0503625				
2	JAVA	400	float	1,35905				
2	JAVA	400	float	0,91004375				
2	JAVA	400	double	0,8398875				
2	JAVA	400	double	1,48133125				
2	JAVA	400	double	1,15259375				
2	JAVA	500	int32	0,567036				
2	JAVA	500	int32	1,57538				
2	JAVA	500	int32	0,937788				
2	JAVA	500	int64	0,550356				
2	JAVA	500	int64	1,7011				
2	JAVA	500	int64	0,966012				
2	JAVA	500	float	0,876208				
2	JAVA	500	float	1,5587				
2	JAVA	500	float	0,930092				
2	JAVA	500	double	0,856964				
2	JAVA	500	double	1,769096				
2	JAVA	500	double	1,109696				
2	JAVA	600	int32	0,587986111				
2	JAVA	600	int32	2,135463889				
2	JAVA	600	int32	1,171522222				
2	JAVA	600	int64	0,821402778				
2	JAVA	600	int64	2,992502778				
2	JAVA	600	int64	1,511841667				
2	JAVA	600	float	0,975525				
2	JAVA	600	float	2,079338889				
2	JAVA	600	float	1,218738889				
2	JAVA	600	double	0,894452778				
2	JAVA	600	double	2,000938889				
2	JAVA	600	double	1,042341667				
2	JAVA	700	int32	0,456863265				
2	JAVA	700	int32	1,951814286				
2	JAVA	700	int32	1,161793878				
2	JAVA	700	int64	0,798528571				
2	JAVA	700	int64	2,092538776				
2	JAVA	700	int64	1,267828571				
2	JAVA	700	float	0,863326531				
2	JAVA	700	float	1,716183673				
2	JAVA	700	float	0,977216327				
2	JAVA	700	double	0,958234694				
2	JAVA	700	double	2,182210204				
2	JAVA	700	double	1,224628571				
2	JAVA	800	int32	0,45853125				
2	JAVA	800	int32	1,652714063				
2	JAVA	800	int32	0,97569375				
2	JAVA	800	int64	0,78125625				
2	JAVA	800	int64	6,693540625				
2	JAVA	800	int64	3,475809375				
2	JAVA	800	float	0,927584375				
2	JAVA	800	float	1,695810938				
2	JAVA	800	float	0,924076563				
2	JAVA	800	double	0,9295875				
2	JAVA	800	double	6,70055625				
2	JAVA	800	double	3,651204688				
2	JAVA	900	int32	0,544433333				
2	JAVA	900	int32	1,610334568				
2	JAVA	900	int32	0,995817284				
2	JAVA	900	int64	0,660050617				
2	JAVA	900	int64	8,610360494				
2	JAVA	900	int64	4,538395062				
2	JAVA	900	float	0,917419753				
2	JAVA	900	float	1,58697284				
2	JAVA	900	float	0,976020988				
2	JAVA	900	double	0,86911358				
2	JAVA	900	double	8,39417037				
2	JAVA	900	double	4,446139506				
2	JAVA	1000	int32	0,489741				
2	JAVA	1000	int32	1,6732				
2	JAVA	1000	int32	1,110656				
2	JAVA	1000	int64	0,624122				
2	JAVA	1000	int64	10,002316				
2	JAVA	1000	int64	5,072838				
2	JAVA	1000	float	0,896735				
2	JAVA	1000	float	1,685707				
2	JAVA	1000	float	1,113863				
2	JAVA	1000	double	0,946126				
2	JAVA	1000	double	9,89776				
2	JAVA	1000	double	5,108759				
2	JAVA	1100	int32	0,48055124				
2	JAVA	1100	int32	7,20958843				
2	JAVA	1100	int32	3,514409917				
2	JAVA	1100	int64	0,561393388				
2	JAVA	1100	int64	11,0431281				
